antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Q122'}),frozenset({'Q8'}),0.03787878787878788,0.06818181818181818,0.03787878787878788,1.0,14.666666666666668,0.03529614325068871,inf,0.968503937007874
frozenset({'Q8'}),frozenset({'Q122'}),0.06818181818181818,0.03787878787878788,0.03787878787878788,0.5555555555555556,14.666666666666666,0.03529614325068871,2.1647727272727275,1.0
frozenset({'Q10'}),frozenset({'Q9'}),0.06818181818181818,0.06818181818181818,0.06818181818181818,1.0,14.666666666666668,0.06353305785123967,inf,1.0
frozenset({'Q9'}),frozenset({'Q10'}),0.06818181818181818,0.06818181818181818,0.06818181818181818,1.0,14.666666666666668,0.06353305785123967,inf,1.0
frozenset({'Q84'}),frozenset({'Q9'}),0.06060606060606061,0.06818181818181818,0.06060606060606061,1.0,14.666666666666668,0.05647382920110193,inf,0.9919354838709677
frozenset({'Q9'}),frozenset({'Q84'}),0.06818181818181818,0.06060606060606061,0.06060606060606061,0.888888888888889,14.666666666666668,0.05647382920110193,8.45454545454546,0.9999999999999999
frozenset({'Q85'}),frozenset({'Q9'}),0.06060606060606061,0.06818181818181818,0.06060606060606061,1.0,14.666666666666668,0.05647382920110193,inf,0.9919354838709677
frozenset({'Q9'}),frozenset({'Q85'}),0.06818181818181818,0.06060606060606061,0.06060606060606061,0.888888888888889,14.666666666666668,0.05647382920110193,8.45454545454546,0.9999999999999999
frozenset({'Q86'}),frozenset({'Q9'}),0.06060606060606061,0.06818181818181818,0.06060606060606061,1.0,14.666666666666668,0.05647382920110193,inf,0.9919354838709677
frozenset({'Q9'}),frozenset({'Q86'}),0.06818181818181818,0.06060606060606061,0.06060606060606061,0.888888888888889,14.666666666666668,0.05647382920110193,8.45454545454546,0.9999999999999999
frozenset({'Q87'}),frozenset({'Q9'}),0.06060606060606061,0.06818181818181818,0.06060606060606061,1.0,14.666666666666668,0.05647382920110193,inf,0.9919354838709677
frozenset({'Q9'}),frozenset({'Q87'}),0.06818181818181818,0.06060606060606061,0.06060606060606061,0.888888888888889,14.666666666666668,0.05647382920110193,8.45454545454546,0.9999999999999999
frozenset({'Q122'}),frozenset({'Q9'}),0.03787878787878788,0.06818181818181818,0.03787878787878788,1.0,14.666666666666668,0.03529614325068871,inf,0.968503937007874
frozenset({'Q9'}),frozenset({'Q122'}),0.06818181818181818,0.03787878787878788,0.03787878787878788,0.5555555555555556,14.666666666666666,0.03529614325068871,2.1647727272727275,1.0
frozenset({'Q10'}),frozenset({'Q84'}),0.06818181818181818,0.06060606060606061,0.06060606060606061,0.888888888888889,14.666666666666668,0.05647382920110193,8.45454545454546,0.9999999999999999
frozenset({'Q84'}),frozenset({'Q10'}),0.06060606060606061,0.06818181818181818,0.06060606060606061,1.0,14.666666666666668,0.05647382920110193,inf,0.9919354838709677
frozenset({'Q10'}),frozenset({'Q85'}),0.06818181818181818,0.06060606060606061,0.06060606060606061,0.888888888888889,14.666666666666668,0.05647382920110193,8.45454545454546,0.9999999999999999
